結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
地下路段,1+490.0,65+690.181,,2771790.335,300552.444,-23.909
地下路段,1+500.0,65+700.181,,2771797.139,300545.115,-23.877
地下路段,1+510.0,65+710.181,,2771803.943,300537.787,-23.846
地下路段,1+520.0,65+720.181,,2771810.747,300530.458,-23.815
地下路段,1+530.0,65+730.181,,2771817.550,300523.130,-23.783
地下路段,1+540.0,65+740.181,,2771824.352,300515.799,-23.752
地下路段,1+550.0,65+750.181,,2771831.129,300508.446,-23.720
地下路段,1+560.0,65+760.181,,2771837.852,300501.043,-23.689
地下路段,1+570.0,65+770.181,,2771844.488,300493.562,-23.658
地下路段,1+580.0,65+780.181,,2771851.006,300485.978,-23.626
地下路段,1+590.0,65+790.181,,2771857.372,300478.267,-23.595
地下路段,1+600.0,65+800.181,,2771863.551,300470.404,-23.563
地下路段,1+610.0,65+810.181,,2771869.509,300462.374,-23.532
地下路段,1+620.0,65+820.181,,2771875.234,300454.175,-23.501
地下路段,1+630.0,65+830.181,,2771880.720,300445.815,-23.469
地下路段,1+640.0,65+840.181,,2771885.964,300437.300,-23.438
地下路段,1+650.0,65+850.181,,2771890.959,300428.638,-23.406
地下路段,1+660.0,65+860.181,,2771895.704,300419.835,-23.375
地下路段,1+670.0,65+870.181,,2771900.193,300410.900,-23.331
地下路段,1+680.0,65+880.181,,2771904.422,300401.839,-23.260
地下路段,1+690.0,65+890.181,,2771908.389,300392.659,-23.163
地下路段,1+700.0,65+900.181,,2771912.090,300383.370,-23.041
地下路段,1+710.0,65+910.181,,2771915.522,300373.978,-22.891
地下路段,1+720.0,65+920.181,,2771918.682,300364.490,-22.716
地下路段,1+730.0,65+930.181,,2771921.568,300354.916,-22.514
地下路段,1+740.0,65+940.181,,2771924.176,300345.263,-22.287
地下路段,1+750.0,65+950.181,,2771926.506,300335.538,-22.033
地下路段,1+760.0,65+960.181,,2771928.554,300325.751,-21.753
地下路段,1+770.0,65+970.181,,2771930.320,300315.908,-21.446
地下路段,1+780.0,65+980.181,,2771931.802,300306.019,-21.114
地下路段,1+790.0,65+990.181,,2771932.998,300296.091,-20.755
地下路段,1+800.0,66+000.181,,2771933.908,300286.133,-20.370
地下路段,1+810.0,66+010.181,,2771934.530,300276.153,-19.959
地下路段,1+820.0,66+020.181,,2771934.865,300266.158,-19.521
地下路段,1+830.0,66+030.181,,2771934.912,300256.159,-19.058
地下路段,1+840.0,66+040.181,,2771934.671,300246.162,-18.571
地下路段,1+850.0,66+050.181,,2771934.143,300236.177,-18.081
地下路段,1+860.0,66+060.181,,2771933.327,300226.210,-17.591
地下路段,1+870.0,66+070.181,,2771932.224,300216.272,-17.101
地下路段,1+880.0,66+080.181,,2771930.835,300206.369,-16.611
地下路段,1+890.0,66+090.181,,2771929.162,300196.510,-16.121
地下路段,1+900.0,66+100.181,,2771927.206,300186.704,-15.631
地下路段,1+910.0,66+110.181,,2771924.968,300176.958,-15.141
地下路段,1+920.0,66+120.181,,2771922.450,300167.280,-14.651
地下路段,1+930.0,66+130.181,,2771919.655,300157.679,-14.161
地下路段,1+940.0,66+140.181,,2771916.584,300148.163,-13.671
地下路段,1+950.0,66+150.181,,2771913.241,300138.738,-13.181
地下路段,1+960.0,66+160.181,,2771909.628,300129.414,-12.691
地下路段,1+970.0,66+170.181,,2771905.747,300120.198,-12.201
地下路段,1+980.0,66+180.181,,2771901.603,300111.098,-11.711
地下路段,1+990.0,66+190.181,,2771897.198,300102.121,-11.221
地下路段,2+000.0,66+200.181,,2771892.537,300093.274,-10.731
地下路段,2+010.0,66+210.181,,2771887.623,300084.565,-10.241
地下路段,2+020.0,66+220.181,,2771882.460,300076.001,-9.751
地下路段,2+030.0,66+230.181,,2771877.053,300067.590,-9.261
地下路段,2+040.0,66+240.181,,2771871.406,300059.337,-8.775
地下路段,2+050.0,66+250.181,,2771865.535,300051.242,-8.292
地下路段,2+060.0,66+260.181,,2771859.477,300043.287,-7.809
地下路段,2+070.0,66+270.181,,2771853.266,300035.449,-7.326
地下路段,2+080.0,66+280.181,,2771846.937,300027.707,-6.843
地下路段,2+090.0,66+290.181,,2771840.524,300020.034,-6.361
地下路段,2+100.0,66+300.181,,2771834.058,300012.405,-5.878
地下路段,2+110.0,66+310.181,,2771827.572,300004.794,-5.395
地下路段,2+120.0,66+320.181,,2771821.085,299997.184,-4.912
地下路段,2+130.0,66+330.181,,2771814.597,299989.574,-4.429
地下路段,2+140.0,66+340.181,,2771808.110,299981.964,-3.946
地下路段,2+150.0,66+350.181,,2771801.622,299974.354,-3.464
地下路段,2+160.0,66+360.181,,2771795.134,299966.744,-2.981
地下路段,2+170.0,66+370.181,,2771788.647,299959.134,-2.498
地下路段,2+180.0,66+380.181,,2771782.159,299951.525,-2.015
地下路段,2+190.0,66+390.181,,2771775.672,299943.915,-1.532
地下路段,2+200.0,66+400.181,,2771769.184,299936.305,-1.049
地下路段,2+210.0,66+410.181,,2771762.696,299928.695,-0.567
地下路段,2+220.0,66+420.181,,2771756.200,299921.092,-0.084
地下路段,2+230.0,66+430.181,,2771749.679,299913.511,0.399
地下路段,2+240.0,66+440.181,,2771743.116,299905.966,0.882
地下路段,2+250.0,66+450.181,,2771736.504,299898.464,1.365
地下路段,2+260.0,66+460.181,,2771729.842,299891.007,1.848
地下路段,2+270.0,66+470.181,,2771723.130,299883.594,2.330
地下路段,2+280.0,66+480.181,,2771716.374,299876.221,2.813
地下路段,2+290.0,66+490.181,,2771709.589,299868.875,3.296
地下路段,2+300.0,66+500.181,,2771702.791,299861.541,3.779
地下路段,2+310.0,66+510.181,,2771695.992,299854.208,4.262
地下路段,2+320.0,66+520.181,,2771689.193,299846.875,4.745
地下路段,2+330.0,66+530.181,,2771682.394,299839.542,5.227
地下路段,2+340.0,66+540.181,,2771675.595,299832.208,5.710
地下路段,2+350.0,66+550.181,,2771668.796,299824.875,6.193
地下路段,2+360.0,66+560.181,,2771661.997,299817.542,6.676
地下路段,2+370.0,66+570.181,,2771655.198,299810.209,7.159
地下路段,2+380.0,66+580.181,,2771648.399,299802.876,7.642
地下路段,2+390.0,66+590.181,,2771641.600,299795.543,8.124
地下路段,2+400.0,66+600.181,,2771634.802,299788.210,8.607
地下路段,2+410.0,66+610.181,,2771628.003,299780.877,9.090
變化點,2+415.5,66+615.681,出土段,2771624.263,299776.844,9.355
高架路段,2+420.0,66+620.181,,2771621.204,299773.544,9.573
高架路段,2+430.0,66+630.181,,2771614.405,299766.211,10.056
高架路段,2+440.0,66+640.181,,2771607.606,299758.878,10.538
高架路段,2+450.0,66+650.181,,2771600.807,299751.545,11.021
高架路段,2+460.0,66+660.181,,2771594.008,299744.212,11.504
高架路段,2+470.0,66+670.181,,2771587.209,299736.879,11.987
高架路段,2+480.0,66+680.181,,2771580.410,299729.546,12.470
高架路段,2+490.0,66+690.181,,2771573.611,299722.212,12.953
高架路段,2+500.0,66+700.181,,2771566.812,299714.879,13.435
高架路段,2+510.0,66+710.181,,2771560.013,299707.546,13.918
高架路段,2+520.0,66+720.181,,2771553.214,299700.213,14.401
高架路段,2+530.0,66+730.181,,2771546.415,299692.880,14.884
高架路段,2+540.0,66+740.181,,2771539.616,299685.547,15.367
高架路段,2+550.0,66+750.181,,2771532.817,299678.214,15.850
高架路段,2+560.0,66+760.181,,2771526.018,299670.881,16.332
高架路段,2+570.0,66+770.181,,2771519.219,299663.548,16.815
高架路段,2+580.0,66+780.181,,2771512.420,299656.215,17.298
高架路段,2+590.0,66+790.181,,2771505.621,299648.882,17.773
高架路段,2+600.0,66+800.181,,2771498.820,299641.551,18.223
高架路段,2+610.0,66+810.181,,2771491.993,299634.243,18.649
高架路段,2+620.0,66+820.181,,2771485.135,299626.965,19.049
高架路段,2+630.0,66+830.181,,2771478.245,299619.718,19.425
高架路段,2+640.0,66+840.181,,2771471.324,299612.500,19.775
高架路段,2+650.0,66+850.181,,2771464.374,299605.310,20.101
高架路段,2+660.0,66+860.181,,2771457.418,299598.126,20.401
高架路段,2+670.0,66+870.181,,2771450.462,299590.941,20.677
高架路段,2+680.0,66+880.181,,2771443.506,299583.757,20.927
高架路段,2+690.0,66+890.181,,2771436.550,299576.573,21.153
高架路段,2+700.0,66+900.181,,2771429.594,299569.388,21.354
高架路段,2+710.0,66+910.181,,2771422.638,299562.204,21.530
高架路段,2+720.0,66+920.181,,2771415.682,299555.020,21.680
高架路段,2+730.0,66+930.181,,2771408.726,299547.835,21.806
高架路段,2+740.0,66+940.181,,2771401.770,299540.651,21.907
高架路段,2+750.0,66+950.181,,2771394.815,299533.467,21.983
高架路段,2+760.0,66+960.181,,2771387.859,299526.282,22.034
