結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
高架路段,3+390.0,88+843.800,,2773130.666,283187.382,143.623
高架路段,3+400.0,88+853.800,,2773134.648,283178.209,143.160
高架路段,3+410.0,88+863.800,,2773138.812,283169.118,142.697
高架路段,3+420.0,88+873.800,,2773143.158,283160.112,142.234
高架路段,3+430.0,88+883.800,,2773147.683,283151.194,141.770
高架路段,3+440.0,88+893.800,,2773152.385,283142.369,141.307
高架路段,3+450.0,88+903.800,,2773157.263,283133.640,140.844
高架路段,3+460.0,88+913.800,,2773162.315,283125.010,140.380
高架路段,3+470.0,88+923.800,,2773167.538,283116.482,139.917
高架路段,3+480.0,88+933.800,,2773172.931,283108.061,139.454
高架路段,3+490.0,88+943.800,,2773178.490,283099.749,139.003
高架路段,3+500.0,88+953.800,,2773184.215,283091.550,138.595
高架路段,3+510.0,88+963.800,,2773190.103,283083.468,138.234
高架路段,3+520.0,88+973.800,,2773196.152,283075.504,137.919
高架路段,3+530.0,88+983.800,,2773202.358,283067.664,137.650
高架路段,3+540.0,88+993.800,,2773208.720,283059.949,137.428
高架路段,3+550.0,89+003.800,,2773215.235,283052.362,137.252
高架路段,3+560.0,89+013.800,,2773221.900,283044.908,137.122
高架路段,3+570.0,89+023.800,,2773228.713,283037.588,137.039
高架路段,3+580.0,89+033.800,,2773235.671,283030.406,137.002
高架路段,3+590.0,89+043.800,,2773242.772,283023.365,137.000
高架路段,3+600.0,89+053.800,,2773250.012,283016.467,137.000
高架路段,3+610.0,89+063.800,,2773257.388,283009.715,137.000
高架路段,3+620.0,89+073.800,,2773264.889,283003.102,137.000
高架路段,3+630.0,89+083.800,,2773272.495,282996.610,137.000
高架路段,3+640.0,89+093.800,,2773280.186,282990.218,137.000
高架路段,3+650.0,89+103.800,,2773287.942,282983.906,137.000
高架路段,3+660.0,89+113.800,,2773295.744,282977.651,137.000
高架路段,3+670.0,89+123.800,,2773303.575,282971.432,137.000
高架路段,3+680.0,89+133.800,,2773311.417,282965.227,137.000
高架路段,3+690.0,89+143.800,,2773319.259,282959.022,137.000
高架路段,3+700.0,89+153.800,,2773327.101,282952.818,137.000
高架路段,3+710.0,89+163.800,,2773334.944,282946.613,137.000
高架路段,3+720.0,89+173.800,,2773342.786,282940.408,137.000
高架路段,3+730.0,89+183.800,,2773350.628,282934.204,137.000
高架路段,3+740.0,89+193.800,,2773358.471,282927.999,137.000
高架路段,3+750.0,89+203.800,,2773366.313,282921.794,137.000
高架路段,3+760.0,89+213.800,,2773374.155,282915.589,137.000
高架路段,3+770.0,89+223.800,,2773381.998,282909.385,137.000
高架路段,3+780.0,89+233.800,,2773389.840,282903.180,137.000
高架路段,3+790.0,89+243.800,,2773397.682,282896.975,137.000
高架路段,3+800.0,89+253.800,,2773405.525,282890.771,137.000
高架路段,3+810.0,89+263.800,,2773413.367,282884.566,137.000
高架路段,3+820.0,89+273.800,,2773421.209,282878.361,137.000
高架路段,3+830.0,89+283.800,,2773429.052,282872.157,137.000
高架路段,3+840.0,89+293.800,,2773436.894,282865.952,137.000
高架車站,0+000.0,89+299.231,A9a(緊急停靠站),2773441.152,282862.583,137.000
高架路段,0+010.0,89+309.231,,2773448.995,282856.378,137.000
高架路段,0+020.0,89+319.231,,2773456.837,282850.173,137.000
高架路段,0+030.0,89+329.231,,2773464.679,282843.969,137.000
高架路段,0+040.0,89+339.231,,2773472.522,282837.764,137.000
高架路段,0+050.0,89+349.231,,2773480.364,282831.559,137.000
高架路段,0+060.0,89+359.231,,2773488.206,282825.355,137.000
高架路段,0+070.0,89+369.231,,2773496.049,282819.150,137.000
高架路段,0+080.0,89+379.231,,2773503.891,282812.945,137.000
高架路段,0+090.0,89+389.231,,2773511.733,282806.741,137.000
高架路段,0+100.0,89+399.231,,2773519.576,282800.536,137.000
高架路段,0+110.0,89+409.231,,2773527.418,282794.331,137.000
高架路段,0+120.0,89+419.231,,2773535.260,282788.127,137.000
高架路段,0+130.0,89+429.231,,2773543.103,282781.922,137.000
高架路段,0+140.0,89+439.231,,2773550.946,282775.719,137.000
高架路段,0+150.0,89+449.231,,2773558.802,282769.531,137.000
高架路段,0+160.0,89+459.231,,2773566.671,282763.360,137.000
高架路段,0+170.0,89+469.231,,2773574.553,282757.207,137.000
高架路段,0+180.0,89+479.231,,2773582.450,282751.071,136.980
高架路段,0+190.0,89+489.231,,2773590.360,282744.953,136.918
高架路段,0+200.0,89+499.231,,2773598.284,282738.853,136.816
高架路段,0+210.0,89+509.231,,2773606.221,282732.770,136.672
高架路段,0+220.0,89+519.231,,2773614.171,282726.705,136.488
高架路段,0+230.0,89+529.231,,2773622.136,282720.657,136.263
高架路段,0+240.0,89+539.231,,2773630.113,282714.627,136.017
高架路段,0+250.0,89+549.231,,2773638.104,282708.615,135.771
高架路段,0+260.0,89+559.231,,2773646.108,282702.620,135.526
高架路段,0+270.0,89+569.231,,2773654.115,282696.630,135.280
高架路段,0+280.0,89+579.231,,2773662.123,282690.640,135.034
高架路段,0+290.0,89+589.231,,2773670.130,282684.650,134.788
高架路段,0+300.0,89+599.231,,2773678.138,282678.660,134.543
高架路段,0+310.0,89+609.231,,2773686.145,282672.670,134.297
高架路段,0+320.0,89+619.231,,2773694.153,282666.680,134.051
高架路段,0+330.0,89+629.231,,2773702.160,282660.690,133.805
高架路段,0+340.0,89+639.231,,2773710.168,282654.700,133.560
高架路段,0+350.0,89+649.231,,2773718.175,282648.710,133.314
高架路段,0+360.0,89+659.231,,2773726.183,282642.720,133.068
高架路段,0+370.0,89+669.231,,2773734.190,282636.730,132.823
高架路段,0+380.0,89+679.231,,2773742.195,282630.736,132.583
高架路段,0+390.0,89+689.231,,2773750.189,282624.728,132.342
高架路段,0+400.0,89+699.231,,2773758.162,282618.693,132.101
高架路段,0+410.0,89+709.231,,2773766.106,282612.619,131.860
高架路段,0+420.0,89+719.231,,2773774.011,282606.494,131.620
高架路段,0+430.0,89+729.231,,2773781.868,282600.308,131.379
高架路段,0+440.0,89+739.231,,2773789.665,282594.047,131.138
高架路段,0+450.0,89+749.231,,2773797.394,282587.702,130.897
高架路段,0+460.0,89+759.231,,2773805.044,282581.261,130.657
高架路段,0+470.0,89+769.231,,2773812.602,282574.714,130.416
高架路段,0+480.0,89+779.231,,2773820.059,282568.050,130.174
高架路段,0+490.0,89+789.231,,2773827.404,282561.265,129.928
高架路段,0+500.0,89+799.231,,2773834.635,282554.357,129.683
高架路段,0+510.0,89+809.231,,2773841.750,282547.331,129.437
高架路段,0+520.0,89+819.231,,2773848.746,282540.186,129.191
高架路段,0+530.0,89+829.231,,2773855.623,282532.926,128.945
高架路段,0+540.0,89+839.231,,2773862.378,282525.553,128.700
高架路段,0+550.0,89+849.231,,2773869.009,282518.067,128.454
高架路段,0+560.0,89+859.231,,2773875.514,282510.473,128.208
高架路段,0+570.0,89+869.231,,2773881.892,282502.771,127.962
高架路段,0+580.0,89+879.231,,2773888.141,282494.964,127.717
高架路段,0+590.0,89+889.231,,2773894.258,282487.053,127.471
高架路段,0+600.0,89+899.231,,2773900.243,282479.042,127.225
高架路段,0+610.0,89+909.231,,2773906.094,282470.932,126.979
高架路段,0+620.0,89+919.231,,2773911.808,282462.726,126.734
高架路段,0+630.0,89+929.231,,2773917.386,282454.426,126.488
高架路段,0+640.0,89+939.231,,2773922.824,282446.034,126.242
高架路段,0+650.0,89+949.231,,2773928.121,282437.552,125.996
高架路段,0+660.0,89+959.231,,2773933.276,282428.984,125.751
高架路段,0+670.0,89+969.231,,2773938.288,282420.330,125.505
高架路段,0+680.0,89+979.231,,2773943.155,282411.595,125.259
高架路段,0+690.0,89+989.231,,2773947.875,282402.779,125.013
高架路段,0+700.0,89+999.231,,2773952.448,282393.886,124.768
高架路段,0+710.0,90+009.231,,2773956.872,282384.918,124.522
高架路段,0+720.0,90+019.231,,2773961.146,282375.878,124.276
高架路段,0+730.0,90+029.231,,2773965.269,282366.767,124.030
高架路段,0+740.0,90+039.231,,2773969.240,282357.589,123.785
高架路段,0+750.0,90+049.231,,2773973.057,282348.347,123.539
高架路段,0+760.0,90+059.231,,2773976.719,282339.042,123.293
高架路段,0+770.0,90+069.231,,2773980.226,282329.677,123.047
高架路段,0+780.0,90+079.231,,2773983.576,282320.255,122.802
高架路段,0+790.0,90+089.231,,2773986.768,282310.778,122.556
高架路段,0+800.0,90+099.231,,2773989.803,282301.250,122.310
高架路段,0+810.0,90+109.231,,2773992.678,282291.672,122.064
高架路段,0+820.0,90+119.231,,2773995.396,282282.049,121.813
高架路段,0+830.0,90+129.231,,2773997.969,282272.386,121.563
高架路段,0+840.0,90+139.231,,2774000.411,282262.688,121.312
高架路段,0+850.0,90+149.231,,2774002.737,282252.963,121.061
高架路段,0+860.0,90+159.231,,2774004.961,282243.213,120.810
高架路段,0+870.0,90+169.231,,2774007.097,282233.444,120.560
高架路段,0+880.0,90+179.231,,2774009.160,282223.659,120.309
高架路段,0+890.0,90+189.231,,2774011.164,282213.862,120.058
高架路段,0+900.0,90+199.231,,2774013.126,282204.056,119.807
高架路段,0+910.0,90+209.231,,2774015.059,282194.245,119.557
高架路段,0+920.0,90+219.231,,2774016.978,282184.431,119.306
高架路段,0+930.0,90+229.231,,2774018.895,282174.616,119.061
高架路段,0+940.0,90+239.231,,2774020.812,282164.802,118.815
高架路段,0+950.0,90+249.231,,2774022.730,282154.987,118.570
高架路段,0+960.0,90+259.231,,2774024.647,282145.173,118.326
高架路段,0+970.0,90+269.231,,2774026.564,282135.358,118.081
高架路段,0+980.0,90+279.231,,2774028.481,282125.544,117.837
高架路段,0+990.0,90+289.231,,2774030.398,282115.729,117.593
高架路段,1+000.0,90+299.231,,2774032.316,282105.915,117.349
高架路段,1+010.0,90+309.231,,2774034.233,282096.100,117.105
高架路段,1+020.0,90+319.231,,2774036.150,282086.286,116.862
高架路段,1+030.0,90+329.231,,2774038.067,282076.471,116.618
高架路段,1+040.0,90+339.231,,2774039.985,282066.657,116.374
高架路段,1+050.0,90+349.231,,2774041.902,282056.842,116.130
高架路段,1+060.0,90+359.231,,2774043.819,282047.028,115.888
高架路段,1+070.0,90+369.231,,2774045.747,282037.215,115.653
高架路段,1+080.0,90+379.231,,2774047.716,282027.411,115.418
高架路段,1+090.0,90+389.231,,2774049.762,282017.623,115.183
高架路段,1+100.0,90+399.231,,2774051.918,282007.858,114.948
高架路段,1+110.0,90+409.231,,2774054.217,281998.126,114.714
高架路段,1+120.0,90+419.231,,2774056.692,281988.437,114.472
高架路段,1+130.0,90+429.231,,2774059.353,281978.798,114.228
高架路段,1+140.0,90+439.231,,2774062.199,281969.212,113.984
高架路段,1+150.0,90+449.231,,2774065.228,281959.682,113.740
高架路段,1+160.0,90+459.231,,2774068.440,281950.212,113.497
高架路段,1+170.0,90+469.231,,2774071.834,281940.805,113.253
高架路段,1+180.0,90+479.231,,2774075.407,281931.466,113.009
高架路段,1+190.0,90+489.231,,2774079.160,281922.197,112.765
高架路段,1+200.0,90+499.231,,2774083.090,281913.002,112.521
高架路段,1+210.0,90+509.231,,2774087.197,281903.884,112.277
高架路段,1+220.0,90+519.231,,2774091.478,281894.847,112.033
高架路段,1+230.0,90+529.231,,2774095.932,281885.894,111.789
高架路段,1+240.0,90+539.231,,2774100.557,281877.028,111.543
高架路段,1+250.0,90+549.231,,2774105.352,281868.253,111.294
高架路段,1+260.0,90+559.231,,2774110.315,281859.571,111.043
高架路段,1+270.0,90+569.231,,2774115.443,281850.987,110.788
高架路段,1+280.0,90+579.231,,2774120.736,281842.502,110.533
高架路段,1+290.0,90+589.231,,2774126.191,281834.122,110.277
高架路段,1+300.0,90+599.231,,2774131.807,281825.847,110.022
高架路段,1+310.0,90+609.231,,2774137.580,281817.682,109.767
高架路段,1+320.0,90+619.231,,2774143.509,281809.630,109.511
高架路段,1+330.0,90+629.231,,2774149.592,281801.693,109.256
高架路段,1+340.0,90+639.231,,2774155.827,281793.875,109.000
高架路段,1+350.0,90+649.231,,2774162.210,281786.177,108.745
高架路段,1+360.0,90+659.231,,2774168.741,281778.605,108.490
高架路段,1+370.0,90+669.231,,2774175.416,281771.159,108.234
高架路段,1+380.0,90+679.231,,2774182.233,281763.842,107.979
高架路段,1+390.0,90+689.231,,2774189.189,281756.659,107.723
高架路段,1+400.0,90+699.231,,2774196.280,281749.608,107.461
高架路段,1+410.0,90+709.231,,2774203.487,281742.675,107.197
高架路段,1+420.0,90+719.231,,2774210.784,281735.837,106.932
高架路段,1+430.0,90+729.231,,2774218.145,281729.069,106.668
高架路段,1+440.0,90+739.231,,2774225.548,281722.346,106.403
高架路段,1+450.0,90+749.231,,2774232.967,281715.641,106.141
高架路段,1+460.0,90+759.231,,2774240.388,281708.938,105.886
高架路段,1+470.0,90+769.231,,2774247.809,281702.235,105.630
高架路段,1+480.0,90+779.231,,2774255.228,281695.530,105.380
高架路段,1+490.0,90+789.231,,2774262.633,281688.810,105.130
高架路段,1+500.0,90+799.231,,2774270.010,281682.059,104.881
高架路段,1+510.0,90+809.231,,2774277.345,281675.262,104.631
高架路段,1+520.0,90+819.231,,2774284.623,281668.404,104.381
高架路段,1+530.0,90+829.231,,2774291.828,281661.470,104.131
高架路段,1+540.0,90+839.231,,2774298.946,281654.445,103.881
高架路段,1+550.0,90+849.231,,2774305.959,281647.317,103.631
高架路段,1+560.0,90+859.231,,2774312.851,281640.071,103.381
高架路段,1+570.0,90+869.231,,2774319.606,281632.699,103.126
高架路段,1+580.0,90+879.231,,2774326.221,281625.198,102.871
高架路段,1+590.0,90+889.231,,2774332.691,281617.574,102.615
高架路段,1+600.0,90+899.231,,2774339.014,281609.827,102.358
高架路段,1+610.0,90+909.231,,2774345.189,281601.962,102.102
高架路段,1+620.0,90+919.231,,2774351.213,281593.980,101.845
高架路段,1+630.0,90+929.231,,2774357.084,281585.885,101.588
高架路段,1+640.0,90+939.231,,2774362.799,281577.679,101.332
高架路段,1+650.0,90+949.231,,2774368.358,281569.367,101.075
高架路段,1+660.0,90+959.231,,2774373.757,281560.949,100.818
高架路段,1+670.0,90+969.231,,2774378.994,281552.431,100.561
高架路段,1+680.0,90+979.231,,2774384.069,281543.814,100.304
高架路段,1+690.0,90+989.231,,2774388.978,281535.103,100.048
高架路段,1+700.0,90+999.231,,2774393.721,281526.299,99.791
高架路段,1+710.0,91+009.231,,2774398.295,281517.407,99.534
高架路段,1+720.0,91+019.231,,2774402.699,281508.429,99.277
高架路段,1+730.0,91+029.231,,2774406.931,281499.368,99.020
高架路段,1+740.0,91+039.231,,2774410.990,281490.229,98.764
高架路段,1+750.0,91+049.231,,2774414.874,281481.015,98.507
高架路段,1+760.0,91+059.231,,2774418.581,281471.728,98.248
高架路段,1+770.0,91+069.231,,2774422.120,281462.375,97.986
高架路段,1+780.0,91+079.231,,2774425.506,281452.965,97.723
高架路段,1+790.0,91+089.231,,2774428.759,281443.510,97.461
高架路段,1+800.0,91+099.231,,2774431.900,281434.015,97.199
高架路段,1+810.0,91+109.231,,2774434.946,281424.491,96.936
高架路段,1+820.0,91+119.231,,2774437.919,281414.943,96.674
高架路段,1+830.0,91+129.231,,2774440.839,281405.379,96.412
高架路段,1+840.0,91+139.231,,2774443.725,281395.804,96.149
高架路段,1+850.0,91+149.231,,2774446.598,281386.226,95.889
高架路段,1+860.0,91+159.231,,2774449.470,281376.647,95.632
高架路段,1+870.0,91+169.231,,2774452.341,281367.068,95.375
高架路段,1+880.0,91+179.231,,2774455.213,281357.490,95.118
高架路段,1+890.0,91+189.231,,2774458.085,281347.911,94.862
高架路段,1+900.0,91+199.231,,2774460.957,281338.332,94.605
高架路段,1+910.0,91+209.231,,2774463.829,281328.753,94.348
高架路段,1+920.0,91+219.231,,2774466.700,281319.175,94.091
高架路段,1+930.0,91+229.231,,2774469.572,281309.596,93.834
高架路段,1+940.0,91+239.231,,2774472.444,281300.017,93.578
高架路段,1+950.0,91+249.231,,2774475.316,281290.438,93.321
高架路段,1+960.0,91+259.231,,2774478.188,281280.859,93.064
高架路段,1+970.0,91+269.231,,2774481.060,281271.281,92.807
高架路段,1+980.0,91+279.231,,2774483.931,281261.702,92.550
高架路段,1+990.0,91+289.231,,2774486.803,281252.123,92.294
高架路段,2+000.0,91+299.231,,2774489.675,281242.544,92.037
高架路段,2+010.0,91+309.231,,2774492.547,281232.966,91.780
高架路段,2+020.0,91+319.231,,2774495.419,281223.387,91.523
高架路段,2+030.0,91+329.231,,2774498.290,281213.808,91.266
高架路段,2+040.0,91+339.231,,2774501.162,281204.229,91.009
高架路段,2+050.0,91+349.231,,2774504.034,281194.651,90.753
高架路段,2+060.0,91+359.231,,2774506.906,281185.072,90.496
高架路段,2+070.0,91+369.231,,2774509.778,281175.493,90.239
高架路段,2+080.0,91+379.231,,2774512.650,281165.914,89.982
高架路段,2+090.0,91+389.231,,2774515.521,281156.336,89.725
高架路段,2+100.0,91+399.231,,2774518.393,281146.757,89.469
高架路段,2+110.0,91+409.231,,2774521.265,281137.178,89.212
高架路段,2+120.0,91+419.231,,2774524.137,281127.599,88.955
高架路段,2+130.0,91+429.231,,2774527.009,281118.021,88.698
高架路段,2+140.0,91+439.231,,2774529.881,281108.442,88.441
高架路段,2+150.0,91+449.231,,2774532.752,281098.863,88.185
高架路段,2+160.0,91+459.231,,2774535.624,281089.284,87.928
高架路段,2+170.0,91+469.231,,2774538.496,281079.706,87.671
高架路段,2+180.0,91+479.231,,2774541.368,281070.127,87.414
高架路段,2+190.0,91+489.231,,2774544.240,281060.548,87.157
高架路段,2+200.0,91+499.231,,2774547.111,281050.969,86.901
高架路段,2+210.0,91+509.231,,2774549.983,281041.390,86.644
高架路段,2+220.0,91+519.231,,2774552.855,281031.812,86.387
高架路段,2+230.0,91+529.231,,2774555.727,281022.233,86.130
高架路段,2+240.0,91+539.231,,2774558.599,281012.654,85.873
高架路段,2+250.0,91+549.231,,2774561.471,281003.075,85.617
高架路段,2+260.0,91+559.231,,2774564.342,280993.497,85.360
高架路段,2+270.0,91+569.231,,2774567.214,280983.918,85.103
高架路段,2+280.0,91+579.231,,2774570.086,280974.339,84.846
高架路段,2+290.0,91+589.231,,2774572.958,280964.760,84.590
高架路段,2+300.0,91+599.231,,2774575.830,280955.182,84.347
高架路段,2+310.0,91+609.231,,2774578.701,280945.603,84.121
高架路段,2+320.0,91+619.231,,2774581.573,280936.024,83.913
高架路段,2+330.0,91+629.231,,2774584.445,280926.445,83.721
高架路段,2+340.0,91+639.231,,2774587.317,280916.867,83.547
高架路段,2+350.0,91+649.231,,2774590.189,280907.288,83.389
高架路段,2+360.0,91+659.231,,2774593.061,280897.709,83.236
高架路段,2+370.0,91+669.231,,2774595.932,280888.130,83.082
高架路段,2+380.0,91+679.231,,2774598.804,280878.552,82.929
高架路段,2+390.0,91+689.231,,2774601.676,280868.973,82.775
高架路段,2+400.0,91+699.231,,2774604.548,280859.394,82.622
高架路段,2+410.0,91+709.231,,2774607.420,280849.815,82.468
高架路段,2+420.0,91+719.231,,2774610.291,280840.236,82.315
高架路段,2+430.0,91+729.231,,2774613.163,280830.658,82.161
高架路段,2+440.0,91+739.231,,2774616.035,280821.079,82.007
高架路段,2+450.0,91+749.231,,2774618.907,280811.500,81.854
高架路段,2+460.0,91+759.231,,2774621.779,280801.921,81.700
高架路段,2+470.0,91+769.231,,2774624.651,280792.343,81.547
高架路段,2+480.0,91+779.231,,2774627.522,280782.764,81.393
高架路段,2+490.0,91+789.231,,2774630.394,280773.185,81.240
高架路段,2+500.0,91+799.231,,2774633.266,280763.606,81.086
高架路段,2+510.0,91+809.231,,2774636.138,280754.028,80.933
高架路段,2+520.0,91+819.231,,2774639.010,280744.449,80.779
高架路段,2+530.0,91+829.231,,2774641.882,280734.870,80.626
高架路段,2+540.0,91+839.231,,2774644.753,280725.291,80.472
高架路段,2+550.0,91+849.231,,2774647.625,280715.713,80.319
高架路段,2+560.0,91+859.231,,2774650.497,280706.134,80.165
高架路段,2+570.0,91+869.231,,2774653.369,280696.555,80.011
高架路段,2+580.0,91+879.231,,2774656.241,280686.976,79.858
高架路段,2+590.0,91+889.231,,2774659.112,280677.398,79.704
高架路段,2+600.0,91+899.231,,2774661.984,280667.819,79.551
高架路段,2+610.0,91+909.231,,2774664.856,280658.240,79.397
高架路段,2+620.0,91+919.231,,2774667.728,280648.661,79.244
高架路段,2+630.0,91+929.231,,2774670.597,280639.082,79.093
高架路段,2+640.0,91+939.231,,2774673.458,280629.500,78.942
高架路段,2+650.0,91+949.231,,2774676.303,280619.913,78.791
高架路段,2+660.0,91+959.231,,2774679.126,280610.320,78.639
高架路段,2+670.0,91+969.231,,2774681.918,280600.717,78.488
高架路段,2+680.0,91+979.231,,2774684.674,280591.105,78.337
高架路段,2+690.0,91+989.231,,2774687.387,280581.480,78.185
高架路段,2+700.0,91+999.231,,2774690.048,280571.840,78.034
高架路段,2+710.0,92+009.231,,2774692.651,280562.185,77.883
高架路段,2+720.0,92+019.231,,2774695.190,280552.513,77.732
高架路段,2+730.0,92+029.231,,2774697.656,280542.822,77.580
高架路段,2+740.0,92+039.231,,2774700.045,280533.111,77.426
高架路段,2+750.0,92+049.231,,2774702.357,280523.382,77.273
高架路段,2+760.0,92+059.231,,2774704.590,280513.635,77.119
高架路段,2+770.0,92+069.231,,2774706.745,280503.870,76.966
高架路段,2+780.0,92+079.231,,2774708.823,280494.088,76.812
高架路段,2+790.0,92+089.231,,2774710.821,280484.290,76.659
高架路段,2+800.0,92+099.231,,2774712.742,280474.476,76.505
高架路段,2+810.0,92+109.231,,2774714.584,280464.647,76.352
高架路段,2+820.0,92+119.231,,2774716.347,280454.804,76.198
高架路段,2+830.0,92+129.231,,2774718.031,280444.947,76.044
高架路段,2+840.0,92+139.231,,2774719.637,280435.076,75.891
高架路段,2+850.0,92+149.231,,2774721.163,280425.194,75.737
高架路段,2+860.0,92+159.231,,2774722.611,280415.299,75.584
高架路段,2+870.0,92+169.231,,2774723.979,280405.393,75.430
高架路段,2+880.0,92+179.231,,2774725.268,280395.476,75.277
高架路段,2+890.0,92+189.231,,2774726.477,280385.550,75.123
高架路段,2+900.0,92+199.231,,2774727.607,280375.614,74.970
高架路段,2+910.0,92+209.231,,2774728.658,280365.669,74.816
高架路段,2+920.0,92+219.231,,2774729.629,280355.717,74.663
高架路段,2+930.0,92+229.231,,2774730.520,280345.756,74.509
高架路段,2+940.0,92+239.231,,2774731.331,280335.789,74.356
高架路段,2+950.0,92+249.231,,2774732.063,280325.816,74.202
高架路段,2+960.0,92+259.231,,2774732.715,280315.838,74.047
高架路段,2+970.0,92+269.231,,2774733.291,280305.854,73.892
高架路段,2+980.0,92+279.231,,2774733.798,280295.867,73.736
高架路段,2+990.0,92+289.231,,2774734.243,280285.877,73.580
高架路段,3+000.0,92+299.231,,2774734.634,280275.885,73.424
高架路段,3+010.0,92+309.231,,2774734.977,280265.890,73.268
高架路段,3+020.0,92+319.231,,2774735.280,280255.895,73.112
高架路段,3+030.0,92+329.231,,2774735.550,280245.899,72.957
高架路段,3+040.0,92+339.231,,2774735.795,280235.902,72.801
高架路段,3+050.0,92+349.231,,2774736.022,280225.904,72.645
高架路段,3+060.0,92+359.231,,2774736.237,280215.907,72.489
高架路段,3+070.0,92+369.231,,2774736.449,280205.909,72.335
高架路段,3+080.0,92+379.231,,2774736.660,280195.911,72.181
高架路段,3+090.0,92+389.231,,2774736.872,280185.913,72.027
高架路段,3+100.0,92+399.231,,2774737.083,280175.916,71.874
高架路段,3+110.0,92+409.231,,2774737.295,280165.918,71.720
高架路段,3+120.0,92+419.231,,2774737.506,280155.920,71.567
高架路段,3+130.0,92+429.231,,2774737.718,280145.922,71.413
高架路段,3+140.0,92+439.231,,2774737.929,280135.925,71.260
高架路段,3+150.0,92+449.231,,2774738.141,280125.927,71.107
高架路段,3+160.0,92+459.231,,2774738.352,280115.929,70.959
高架路段,3+170.0,92+469.231,,2774738.564,280105.931,70.817
高架路段,3+180.0,92+479.231,,2774738.775,280095.933,70.682
高架路段,3+190.0,92+489.231,,2774738.986,280085.936,70.553
高架路段,3+200.0,92+499.231,,2774739.198,280075.938,70.430
高架路段,3+210.0,92+509.231,,2774739.409,280065.940,70.313
高架路段,3+220.0,92+519.231,,2774739.621,280055.942,70.197
高架路段,3+230.0,92+529.231,,2774739.832,280045.945,70.081
高架路段,3+240.0,92+539.231,,2774740.044,280035.947,69.966
高架路段,3+250.0,92+549.231,,2774740.255,280025.949,69.850
高架路段,3+260.0,92+559.231,,2774740.467,280015.951,69.734
高架路段,3+270.0,92+569.231,,2774740.678,280005.954,69.618
高架路段,3+280.0,92+579.231,,2774740.890,279995.956,69.502
高架路段,3+290.0,92+589.231,,2774741.101,279985.958,69.386
高架路段,3+300.0,92+599.231,,2774741.313,279975.960,69.271
高架路段,3+310.0,92+609.231,,2774741.524,279965.963,69.155
高架路段,3+320.0,92+619.231,,2774741.736,279955.965,69.039
高架路段,3+330.0,92+629.231,,2774741.947,279945.967,68.923
高架路段,3+340.0,92+639.231,,2774742.159,279935.969,68.807
高架路段,3+350.0,92+649.231,,2774742.370,279925.971,68.691
高架路段,3+360.0,92+659.231,,2774742.582,279915.974,68.575
高架路段,3+370.0,92+669.231,,2774742.793,279905.976,68.460
高架路段,3+380.0,92+679.231,,2774743.005,279895.978,68.344
高架路段,3+390.0,92+689.231,,2774743.216,279885.980,68.228
高架路段,3+400.0,92+699.231,,2774743.428,279875.983,68.112
高架路段,3+410.0,92+709.231,,2774743.639,279865.985,67.996
高架路段,3+420.0,92+719.231,,2774743.850,279855.987,67.880
高架路段,3+430.0,92+729.231,,2774744.062,279845.989,67.765
高架路段,3+440.0,92+739.231,,2774744.273,279835.992,67.649
高架路段,3+450.0,92+749.231,,2774744.485,279825.994,67.533
高架路段,3+460.0,92+759.231,,2774744.696,279815.996,67.416
高架路段,3+470.0,92+769.231,,2774744.908,279805.998,67.292
高架路段,3+480.0,92+779.231,,2774745.119,279796.001,67.157
高架路段,3+490.0,92+789.231,,2774745.331,279786.003,67.013
高架路段,3+500.0,92+799.231,,2774745.542,279776.005,66.859
高架路段,3+510.0,92+809.231,,2774745.754,279766.007,66.695
高架路段,3+520.0,92+819.231,,2774745.965,279756.010,66.522
高架路段,3+530.0,92+829.231,,2774746.177,279746.012,66.339
高架路段,3+540.0,92+839.231,,2774746.388,279736.014,66.146
高架路段,3+550.0,92+849.231,,2774746.600,279726.016,65.952
高架路段,3+560.0,92+859.231,,2774746.811,279716.018,65.758
高架路段,3+570.0,92+869.231,,2774747.024,279706.021,65.568
高架路段,3+580.0,92+879.231,,2774747.248,279696.023,65.379
高架路段,3+590.0,92+889.231,,2774747.500,279686.026,65.190
高架路段,3+600.0,92+899.231,,2774747.795,279676.031,64.997
高架路段,3+610.0,92+909.231,,2774748.137,279666.037,64.803
高架路段,3+620.0,92+919.231,,2774748.526,279656.044,64.609
高架路段,3+630.0,92+929.231,,2774748.964,279646.054,64.415
高架路段,3+640.0,92+939.231,,2774749.448,279636.066,64.221
高架路段,3+650.0,92+949.231,,2774749.981,279626.080,64.027
高架路段,3+660.0,92+959.231,,2774750.561,279616.097,63.833
高架路段,3+670.0,92+969.231,,2774751.188,279606.116,63.638
高架路段,3+680.0,92+979.231,,2774751.857,279596.139,63.439
高架路段,3+690.0,92+989.231,,2774752.554,279586.163,63.240
高架路段,3+700.0,92+999.231,,2774753.261,279576.188,63.042
高架路段,3+710.0,93+009.231,,2774753.970,279566.213,62.848
高架路段,3+720.0,93+019.231,,2774754.679,279556.238,62.654
高架路段,3+730.0,93+029.231,,2774755.387,279546.264,62.460
高架路段,3+740.0,93+039.231,,2774756.096,279536.289,62.266
高架路段,3+750.0,93+049.231,,2774756.805,279526.314,62.072
